Topic NO;NO Docs;Keywords
66;2;['kouyat', 'driscol', 'sekou', 'kora', 'yorkes', 'mendth', 'wama', 'kouyat', 'dreamier', 'driscol']
67;2;['cymbelin', 'cymbelin', 'innogen', 'innogen', 'still’', 'belariu', 'cloten', 'word', 'bethan', 'abeysekera']
69;2;['maya', 'maya', 'scotsman', 'antwi', 'antwi', 'clem', 'undercov', '•', 'rudi', 'scotsman']
71;2;['verb', 'culpa', 'mea', 'modal', 'modal', 'verb', 'auxiliari', 'latin', '•', 'fuzzi']
72;2;['pool', 'breastfeed', 'breastfeed', 'feed', 'cow', 'hodgson', 'toilet', 'breastfe', 'breast', 'water']
75;2;['navajo', 'begay', 'geisler', 'ashlynn', 'navajo', 'abduct', 'tolani', 'girl’', 'nez', 'firstnet']
77;2;['poker', 'bloom', 'poker', 'molly’', 'sorkin’', 'sorkin', 'skier', 'chastain', 'affleck', 'dicaprio']
82;2;['lupidi', 'lupidi', 'evelyn', 'jasmin', 'kill', 'court', 'kill', 'refug', 'stab', 'weaver']
87;2;['palmer', 'qn', 'palmer', 'fti', 'queensland', 'clive', 'nickel', 'senat', 'liquid', 'refineri']
88;2;['mick', 'wolf', 'tv', 'creek', 'twist', 'australian', 'dunde', 'snowtown', 'episod', 'magician']
91;2;['mitsubishi', 'mitsubishi', 'nissan', 'carmak', 'test', 'motor', 'scandal', 'mileag', 'suzuki', 'japanes']
95;2;['dunham', 'dunham', 'lenni', 'evil', 'dunham’', 'lena', 'dunham’', 'publish', 'girl', 'imprint']
98;2;['tarkovski', 'andrei', 'ivan’', 'tarkovsky’', 'filmmak', 'soviet', 'andrei', 'soul', 'parajanov', 'wajda']
100;2;['est', 'midseason', 'comedi', 'cb', 'cw', 'supergirl', '9pm', 'nci', 'abc', 'chicago']
101;2;['anatom', 'bodi', 'dissect', 'venu', 'guy’', 'bodi', 'scienc', 'anatomi', 'cathedr', 'roman']
102;2;['rick', 'riordan', 'riordan', 'oracl', 'apollo', 'apollo', 'rick', 'oracl', 'hidden', 'riordan’']
103;2;['boulez', 'boulez’', 'boulez', 'diotima', 'livr', 'eaux', 'quatuor', 'menuhin', 'soleil', 'movement']
104;2;['goat', 'thwait', 'goat', 'weed', 'cihanek', 'park', 'anim', 'prospect', 'homo', 'prosthet']
105;2;['dominican', 'haitian', 'govern', 'busi', 'haitian', 'republ', 'worker', 'develop', 'haiti', 'banana']
106;2;['gauntlet', 'subscrib', 'subscrib', 'fanci', 'youtub', 'goal', 'gopro', 'inoffthepost', 'kapugedera', 'thecorpor']
107;2;['poppunk', 'poppunk', 'blink182', 'ewald', 'basebal', 'steady’', 'basebal', 'lukens’', 'ewald’', 'ewald']
108;2;['statu', 'suffrag', 'seacol', 'statu', 'mari', 'commemor', 'christchurch', 'victoria', 'fellowship', 'squar']
109;2;['album', 'jagwar', 'liss', 'mvula', 'fetti', 'fri', 'cohen’', 'roundhous', 'tue', 'mon']
110;2;['i’d', 'grill', 'i’d', 'lunch', 'love', 'papaya', 'seafood', 'cook', 'sing', 'coconut']
111;2;['carib', 'wolv', 'wolf', 'selkirk', 'elk', 'entz', 'wolv', 'yellowston', 'woodland', 'herd']
113;2;['cornish', 'cornish', 'languag', 'cornwal', 'cream', 'languag', 'maga', 'kernow', 'ice', 'kelly’']
116;2;['arpaio', 'arpaio', 'darland', 'dog', 'sheriff', 'bestial', 'anim', 'sheriff', 'hi', 'sex']
119;2;['montreal', 'montreal', 'rue', 'bixi', 'poutin', 'bagel', 'cochon', 'bike', 'montroy', 'jazz']
120;2;['crocodil', 'nile', 'crocodil', 'nile', 'florida', 'florida', 'allig', 'croc', 'everglad', 'krysko']
126;2;['conor', 'carney', 'band', 'conor', 'walshpeelo', 'sing', 'street', 'pop', 'brother', '“happysad”']
128;2;['leith', 'trainspot', 'spud', 'trainspot', 'edinburgh', 'renton', 'begbi', 'sequel', 'sick', 'welsh']
129;2;['machin', 'theatr', 'forster’', 'forster', 'gruber', 'theatr', 'machin', 'forster’', 'framework', 'ale']
130;2;['riseborough', 'riseborough', 'lewi', '“forgiveness”', 'nonemorepresbyterian', 'wibbl', 'poetryquot', 'tippex', 'heavenhelpu', '“punishment”']
131;2;['elliot', 'brossard', 'lawther', 'clément', 'wander', 'buddyboycrush', 'stevenson', 'lawther', 'ture', 'elliot’']
132;2;['shaw', 'philander', 'shaw', 'paramor', 'miller’', 'leonard', 'myerbennett', 'dorothea', 'miller', 'julia']
133;2;['dancer', 'dancer', 'manen', 'van', 'den', 'solo', 'wouwer', 'pseudoritu', 'martialartistri', 'cacti']
134;2;['anderson’', 'anderson’', 'dog', 'essayfilm', 'squeali', 'lolabel', 'documentary’', 'hypnosi', 'streamofconsci', 'melliflu']
135;2;['chamber', 'richard', 'bantam', 'chicken', 'standardissu', 'heartwrench', 'fetid', 'badtemp', 'empath', 'paig']
136;2;['maslin', 'mh17', 'mh17', 'norri', 'ukrain', 'ukrain', 'violet', 'missil', 'missil', 'dutch']
143;2;['ident', 'adamsdal', 'joke', 'hutchinson', 'scotsman', 'logan', 'british', 'englishman', 'joke', 'lloyd']
145;2;['caterpillar', 'butterfli', 'hungri', 'caterpillar', 'orang', 'tip', 'artist', 'flower', 'carle’', 'rosegg']
147;2;['pomerantsev', 'alvi', 'pomerantsev’', 'pomerantsev’', 'ondaatj', 'poetri', 'clarke’', 'lawson', 'rural', 'nonfict']
149;2;['restaur', 'eat', 'restaur', 'takeaway', 'children', 'order', 'eat', 'eat’', 'young', 'extra']
153;2;['cabo', 'verd', 'verd', 'compil', 'africa', 'music', 'synth', 'cesária', 'évora', 'farfisa']
154;2;['vesuviu', 'volcano', 'erupt', 'erupt', 'etna', 'earthquak', 'helen', 'usg', 'wright', 'quak']
163;2;['lion', 'ferrada', 'ferrara', 'lion', 'zoo', 'zoo', 'tranquilis', 'dart', 'tranquilis', 'zookeep']
165;2;['neanderth', 'cave', 'dunhuang', 'stalagmit', 'cave', 'structur', 'wall', 'soressi', 'replica', 'mogao']
166;2;['sabl', 'sabl', 'edmond', 'grove', 'sherman', 'grove', 'edmond', 'niekerk', 'liberia', 'niekerk']
167;2;['neset', 'neset', 'danielsson', 'rollin', 'trio', 'lund', 'salm', 'danielsson', 'morten', 'mariu']
169;2;['soro', 'russian', 'russian', 'film', 'book', 'studio', '£300m', 'burn', 'hollywood', 'ministri']
171;2;['octopu', 'squid', 'octopus', 'cephalopod', 'gilland', 'cuttlefish', 'ozi', 'aquarium', 'ocean', 'humboldt']
173;2;['metheni', 'vu’', 'kin', '←→', 'metheni', 'vu', 'melod', 'trumpet', 'trio', 'drum']
174;2;['condor', 'condor', 'argentina', 'argentina', 'binstock', 'sentenc', 'militari', 'dictatorship', 'oper', 'zaldúa']
